电影名称,电影类型,出品国家,上映年份,上映月份,上映日期,电影时长,电影评分,打分人数,想看人数,累计票房,首日票房,首周票房
铁道飞虎,"剧情,喜剧,动作",中国大陆,2016,12,23,123,8.5,350000,58000,69900,5276,21700
悟空传,"剧情,动作,奇幻",中国大陆,2017,7,13,123,7.7,500000,339000,69600,10700,40100
爸爸去哪儿,"喜剧,冒险,家庭",中国大陆,2014,1,31,95,8.4,40000,16000,69600,9431,25600
环太平洋,"动作,科幻,冒险",美国,2013,7,31,132,8.7,10000,11000,69500,5407,28500
正义联盟,"动作,冒险,科幻",美国,2017,11,17,120,8.6,460000,176000,69000,10000,34500
银河护卫队2,"动作,冒险,科幻",美国,2017,5,5,136,9.1,480000,155000,68600,9860,34200
宠爱,"喜剧,爱情,剧情",中国大陆,2019,12,31,108,8.9,460000,295000,68300,17200,43600
九层妖塔,"剧情,动作,冒险",中国大陆,2015,9,30,117,5.7,440000,268000,68100,9135,42200
明日战记,"动作,科幻,冒险","中国大陆,中国香港",2022,8,5,99,9.1,390000,372000,67900,4137,20200
寒战2,"剧情,动作,犯罪",中国大陆,2016,7,8,110,8.6,470000,180000,67600,9576,29800
碟中谍4,"动作,谍战","美国,阿联酋,捷克,俄罗斯,印度,加拿大",2012,1,28,133,8.8,2229,49,67200,5458,10200
蚁人,"动作,冒险,科幻",美国,2015,10,16,117,8.9,670000,266000,67000,7588,27100
摩天营救,"动作,惊悚,冒险",美国,2018,7,20,102,9.1,510000,118000,66900,9067,32900
分手大师,"喜剧,爱情",中国大陆,2014,6,27,116,8.4,170000,46000,66500,3960,15300
莫斯科行动,"剧情,犯罪,动作",中国大陆,2023,9,29,128,9.1,100000,281000,66200,5230,16700
黑豹,"剧情,动作,科幻",美国,2018,3,9,134,8.4,530000,283000,66200,13100,42200
灌篮高手,"动画,青春,热血",日本,2023,4,20,124,9.2,230000,1155000,66000,9423,38100
情圣,"喜剧,爱情",中国大陆,2016,12,30,116,8.6,580000,38000,65700,3409,17200
变形金刚：超能勇士崛起,"动作,科幻,冒险",美国,2023,6,9,128,9,160000,622000,65500,7572,27599
唐山大地震,灾难,"中国大陆,中国香港",2010,7,22,136,8.3,1568,60,64900,64900,64900
恶棍天使,"喜剧,爱情",中国大陆,2015,12,24,124,8,1010000,512000,64800,15200,50800
来电狂响,"剧情,喜剧",中国大陆,2018,12,28,103,8.6,430000,70000,64100,1792,16900
大侦探皮卡丘,"冒险,奇幻,喜剧",美国,2019,5,10,104,8.6,330000,281000,64000,7642,27799
惊天魔盗团2,"喜剧,动作,惊悚",美国,2016,6,24,126,8.5,550000,514000,63700,8854,28700
让子弹飞,"剧情,喜剧,动作,西部","中国大陆,中国香港",2010,12,16,132,8.5,4201,56,63600,63600,63600
环太平洋：雷霆再起,"动作,冒险,科幻",美国,2018,3,23,111,8.1,510000,338000,63300,13600,41100
影,"剧情,动作,古装",中国大陆,2018,9,30,116,8.1,440000,236000,62800,6615,6623
反贪风暴5：最终章,"犯罪,动作","中国大陆,中国香港",2021,12,31,95,8.4,210000,853000,62800,14400,33000
后会无期,"喜剧,爱情,冒险",中国大陆,2014,7,24,106,8.3,250000,71000,62800,7237,29600
末日崩塌,"动作,冒险,灾难",美国,2015,6,2,115,9.1,670000,65000,62800,3406,31800
